EM LED Style,Standard EM#,Roll Length,Max Run per Vendor (m),Temp,Lumens/in,Lumens/ft,Lumens/m,Efficiency lm/W, Nominal W/m,Max W/m,Segment (mm),PCB Width (mm),L70,CRI,W/m at 0.25m,W/m at 0.5m,W/m at 1m,W/m at 2m,W/m at 3m,W/m at 4m,W/m at 5m,W/m at 6m,W/m at 7m,W/m at 8m,W/m at 9m,W/m at 10m,Avg. Lux at 0.25m,Avg. Lux at 0.5m,Avg. Lux at 1m,Avg. Lux at 2m,Avg. Lux at 3m,Avg. Lux at 4m,Avg. Lux at 5m,Avg. Lux at 6m,Avg. Lux at 7m,Avg. Lux at 8m,Avg. Lux at 9m,Avg. Lux at 10m
LSE,79230,5m,5,3000K,71.11996159522074,853,2800,140,20,22,55.55,10,52000,90+,21.58,20.96,20.7,18.98,17.52,15.67,14.51,,,,,,,,,,,,,,,,,
LHE,79245,5m,5,3000K,106.67994239283111,1280,4200,140,30,33,45.45,12,52000,90+,33.84,33.19,32.39,28.65,25.32,22.35,19.46,,,,,,,,,,,,,,,,,
AVA,81900,5m,5,2700-6000K,59.43596790457733,701,2340,90,26,28.6,50,12,50000,90+,29.11,28.82,28.01,25.57,24.27,22.59,21.62,,,,,,,,,,,,,,,,,
SO,56774,5m,5,3000K,50.291972842334665,604,1980,90,22,24,50,10,124000,90+,23.58,23.38,23.21,21.86,20.29,18.67,17.12,,,,,,,,,,,,,,,,,
HO,64334,5m,5,3000K,76.19995885202222,823,3000,100,30,32,55.55,12,52000,90+,32.45,31.75,31.48,29.26,27.16,24.9,21.4,,,,,,,,,,,,,,,,,
LO,82180 / 82181,5m / 7.1m,7.1,3300K,25.145986421167333,302,990,90,11,12,50,10,140000,90+,10.49,10.49,10.38,10.2,10.05,9.8,9.37,9.37,9.37,9.37,,,,,,,,,,,,,,
AVA (OLD),67500,5m,5,2700-6500K,44.44997599701296,533,1750,76,23,25.3,50,10,50000,90+,23,23,23,23,23,23,23,,,,,,,,,,,,,,,,,
CRI95 LSE,83901-30K,30m,5,3000K,71.11996159522074,853,2800,140,20,22,50,10,50000,95+,22,21,20.88,18.48,17.6,15.6,14.16,,,,,,,,6897,6397,6017,5443,4890,4553,4117,3940,3420,3517
CRI95 LHE,83911-30K,30m,5,3000K,106.67994239283111,1280,4200,140,30,33,50,10,50000,95+,32,30,29.04,24.72,22.32,19.56,17.52,,,,,,,,9463,8210,7613,6857,6120,5710,5290,4577,4500,4087
CRI95 AVA,83930,30m,5,2700-6500K,76.19995885202222,915,3000,100,30,33,50,12,50000,95+,33,33,33,33,33,33,33,,,,,,,,,,,,,,,,,
COB LO,83925-33K,30m,7.6,3300K,25.399986284007404,302,1000,100,10,11,50,10,50000,90+,11.33,11.23,11.13,11,10.72,10.24,10.01,9.6,8.96,8.58,8.11,7.84,,,2440,2497,2447,2310,2253,2217,2090,2020,1953,1890
COB LO AVA,83935,30m,5,2700-6500K,25.399986284007404,302,1000,87,11.5,12.65,50,12,50000,90+,12.65,12.65,12.65,12.65,12.65,12.65,12.65,,,,,,,,,,,,,,,,,
DIM TO WARM,84028,30m,5,1800-3000K,37.337979837490884,448,1470,105,14,15.400000000000002,71.42,12,50000,90+,14,14,14,14,14,14,14,,,,,,,,,,,,,,,,,
COB LO DIM TO WARM,84029,30m,5,1800-3000K,23.367987381286813,280,920,92,10,11,55.55,10,50000,90+,10,10,10,10,10,10,10,,,,,,,,,,,,,,,,,
